state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
39,60,1,0,0,0,221.0,94,37.57,308.2,72,26.2,233.2,94,10.49,10.1,5,2.73,1
41,78,0,0,0,0,163.6,88,27.81,283.4,93,24.09,262.1,108,11.79,8.6,9,2.32,0
26,106,1,0,0,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1
21,163,1,0,1,30,195.2,123,33.18,126.4,115,10.74,221.0,90,9.95,9.0,5,2.43,5
26,63,1,0,0,0,162.5,86,27.63,165.4,112,14.06,163.7,67,7.37,13.4,6,3.62,4
46,106,2,1,0,0,196.7,100,33.44,210.2,109,17.87,173.8,83,7.82,7.8,1,2.11,4
46,73,1,0,0,0,217.8,91,37.03,220.6,97,18.75,277.3,89,12.48,10.3,6,2.78,1
15,100,1,0,1,32,125.2,123,21.28,230.9,101,19.63,192.0,106,8.64,12.6,9,3.4,3
14,48,1,0,1,37,138.3,81,23.51,187.6,74,15.95,158.0,113,7.11,11.6,1,3.13,2
16,127,1,0,0,0,221.0,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2
37,155,0,0,1,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1
6,110,1,0,0,0,251.3,91,42.72,207.2,95,17.61,249.0,70,11.21,12.9,2,3.48,1
5,93,1,0,0,0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2
48,92,1,1,0,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0
34,70,1,0,0,0,177.4,125,30.16,226.2,104,19.23,254.1,72,11.43,10.9,4,2.94,0
37,117,1,0,1,38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3
41,52,2,0,1,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1
41,125,1,0,0,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0
36,84,2,0,0,0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,13.8,2,3.73,1
42,74,1,0,1,25,234.4,113,39.85,265.9,82,22.6,241.4,77,10.86,13.7,4,3.7,0
4,86,1,0,0,0,234.6,102,39.88,268.3,109,22.81,195.6,102,8.8,11.6,4,3.13,1
7,108,2,1,1,36,153.8,105,26.15,246.2,62,20.93,150.9,125,6.79,11.1,4,3.0,1
17,86,0,0,0,0,139.1,95,23.65,146.2,82,12.43,186.8,120,8.41,11.8,5,3.19,2
49,32,0,0,1,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1
6,40,2,1,0,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73,0
44,91,2,0,0,0,142.6,90,24.24,286.8,102,24.38,222.2,113,10.0,14.8,3,4.0,0
13,110,1,0,0,0,170.1,87,28.92,216.6,98,18.41,225.0,88,10.13,10.8,3,2.92,2
38,59,2,0,0,0,189.1,141,32.15,198.2,113,16.85,280.2,103,12.61,2.2,7,0.59,1
6,127,0,0,0,0,155.8,91,26.49,103.7,85,8.81,117.2,125,5.27,8.6,3,2.32,2
22,148,1,1,0,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0
16,108,0,0,0,0,170.3,48,28.95,187.7,146,15.95,204.0,84,9.18,16.1,4,4.35,3
38,141,2,0,0,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1
14,101,1,0,0,0,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,0
24,142,1,0,1,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1
23,135,0,0,0,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3
18,69,1,0,1,37,155.0,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1
39,73,1,0,0,0,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3.0,2
33,105,0,0,0,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2
37,165,1,0,0,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0
5,128,2,0,0,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4
7,68,1,1,1,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,11.3,5,3.05,1
7,99,1,0,1,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3
40,104,1,0,0,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10.0,4,2.7,3
13,130,1,0,0,0,139.0,98,23.63,120.2,116,10.22,160.4,113,7.22,14.5,2,3.92,3
34,81,1,0,0,0,140.8,97,23.94,211.5,109,17.98,216.9,53,9.76,12.2,4,3.29,0
15,81,0,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1
17,72,1,0,0,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0
15,131,0,0,0,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3
45,68,1,0,1,41,226.0,113,38.42,149.8,115,12.73,184.9,88,8.32,11.5,2,3.11,2
33,118,2,0,1,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1
4,75,0,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1
38,110,2,0,0,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2
24,123,1,0,0,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3
49,105,2,0,0,0,101.5,83,17.26,193.8,83,16.47,214.3,113,9.64,11.7,4,3.16,3
11,70,1,0,0,0,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,6.7,6,1.81,1
24,131,1,0,0,0,201.1,141,34.19,216.5,93,18.4,217.4,132,9.78,11.5,4,3.11,1
32,111,1,0,0,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4
28,81,1,0,0,0,234.1,105,39.8,237.4,88,20.18,240.6,85,10.83,11.4,4,3.08,1
7,103,2,0,1,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0
24,154,1,0,0,0,162.0,87,27.54,199.5,147,16.96,243.0,66,10.93,1.1,5,0.3,1
14,129,1,0,0,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2
16,101,2,0,1,25,144.1,144,24.5,167.6,105,14.25,240.0,107,10.8,14.5,3,3.92,1
39,113,1,0,0,0,90.6,130,15.4,170.6,100,14.5,137.4,74,6.18,5.4,9,1.46,1
40,78,1,0,0,0,109.5,105,18.62,286.1,90,24.32,247.6,113,11.14,4.9,9,1.32,1
12,50,2,0,0,0,202.0,106,34.34,174.7,70,14.85,152.9,92,6.88,6.0,6,1.62,4
21,119,2,0,0,0,140.0,135,23.8,138.9,103,11.81,230.2,121,10.36,6.1,6,1.65,0
21,177,1,0,0,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2
9,36,2,0,0,0,195.5,77,33.24,156.3,108,13.29,217.8,133,9.8,7.3,2,1.97,1
7,123,1,0,0,0,211.0,92,35.87,217.0,102,18.45,214.8,104,9.67,9.8,7,2.65,3
29,95,2,0,0,0,58.2,96,9.89,202.1,126,17.18,210.5,97,9.47,10.4,5,2.81,0
40,99,2,0,0,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0
34,94,1,0,0,0,190.4,91,32.37,92.0,107,7.82,224.8,108,10.12,13.6,17,3.67,2
38,104,1,0,0,0,186.8,102,31.76,176.3,114,14.99,222.2,84,10.0,13.0,3,3.51,0
21,173,0,0,0,0,128.6,108,21.86,248.3,92,21.11,130.1,115,5.85,10.4,2,2.81,4
22,22,0,0,0,0,180.0,65,30.6,207.0,106,17.6,182.8,111,8.23,8.3,6,2.24,1
21,127,2,0,0,0,223.2,137,37.94,144.7,119,12.3,96.0,109,4.32,8.6,4,2.32,2
11,87,2,0,0,0,297.4,63,50.56,118.4,108,10.06,242.3,72,10.9,11.0,2,2.97,2
49,78,2,0,1,26,189.0,98,32.13,191.7,67,16.29,217.0,68,9.76,11.3,3,3.05,0
23,116,0,0,0,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12.0,6,3.24,1
14,151,0,0,0,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0
21,36,2,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0
44,133,2,0,0,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4.0,3
30,80,2,0,0,0,213.3,124,36.26,189.6,86,16.12,193.7,107,8.72,12.1,2,3.27,1
40,127,2,0,1,33,180.5,94,30.69,241.9,107,20.56,225.4,113,10.14,7.4,2,2.0,1
9,31,2,0,0,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1
49,121,1,0,0,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0
5,156,0,1,0,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1
1,149,1,0,1,20,264.4,102,44.95,219.6,123,18.67,200.4,89,9.02,11.3,3,3.05,2
33,109,0,0,1,39,270.0,58,45.9,235.5,108,20.02,194.3,57,8.74,7.8,6,2.11,1
12,82,2,0,1,23,123.7,93,21.03,139.1,74,11.82,174.5,118,7.85,10.6,2,2.86,1
50,159,1,0,0,0,167.4,68,28.46,143.8,74,12.22,140.1,111,6.3,10.3,3,2.78,0
3,108,1,0,0,0,193.3,126,32.86,154.7,85,13.15,174.8,98,7.87,9.4,6,2.54,3
44,96,0,0,1,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1
48,111,1,0,1,23,87.7,91,14.91,218.3,118,18.56,173.1,87,7.79,12.3,4,3.32,1
32,146,1,0,0,0,157.4,89,26.76,196.0,117,16.66,147.7,150,6.65,10.8,4,2.92,0
14,68,1,0,0,0,134.6,73,22.88,206.8,117,17.58,138.4,104,6.23,9.4,2,2.54,2
0,76,1,0,0,0,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1
31,95,1,0,1,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0
9,85,0,1,0,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3
12,158,1,0,0,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1
8,50,2,0,1,39,147.3,75,25.04,244.8,74,20.81,216.9,101,9.76,13.2,3,3.56,2
3,97,0,0,0,0,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,12.8,6,3.46,3
31,53,0,0,0,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9
33,134,0,0,0,0,177.1,120,30.11,218.1,123,18.54,183.8,93,8.27,12.7,5,3.43,3
34,39,0,0,0,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2
24,76,2,0,0,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5
18,27,0,0,0,0,82.6,105,14.04,204.0,99,17.34,224.2,122,10.09,9.1,4,2.46,1
50,65,1,0,1,21,135.1,120,22.97,238.4,90,20.26,286.4,93,12.89,11.0,9,2.97,4
50,69,1,0,0,0,211.7,94,35.99,236.1,124,20.07,252.7,90,11.37,7.2,2,1.94,4
21,157,0,0,1,27,201.4,85,34.24,101.3,60,8.61,258.5,113,11.63,11.9,5,3.21,2
32,79,1,0,0,0,187.3,108,31.84,177.1,72,15.05,269.2,135,12.11,9.5,3,2.57,3
13,99,0,0,0,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2
5,86,0,0,0,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1
23,99,0,0,0,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2
49,48,0,0,0,0,237.5,117,40.38,211.1,114,17.94,163.9,114,7.38,9.7,3,2.62,1
19,85,1,0,0,0,274.7,79,46.7,119.4,122,10.15,296.9,74,13.36,9.4,10,2.54,1
19,57,1,0,1,24,140.2,102,23.83,170.1,107,14.46,143.7,102,6.47,14.0,1,3.78,1
19,132,1,0,0,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1
34,142,1,0,0,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1
2,109,2,0,0,0,170.7,101,29.02,240.2,82,20.42,119.0,112,5.36,11.4,4,3.08,2
35,70,2,0,1,23,205.5,95,34.94,224.3,80,19.07,196.1,76,8.82,9.7,4,2.62,1
39,77,0,0,0,0,196.6,87,33.42,117.7,103,10.0,124.9,100,5.62,11.4,3,3.08,2
45,115,1,0,0,0,132.0,90,22.44,197.5,75,16.79,175.8,114,7.91,0.0,0,0.0,3
7,180,1,0,1,33,231.8,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1
15,51,2,0,0,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0
13,67,2,0,1,30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,2
20,93,0,1,0,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0
50,91,1,0,0,0,34.5,85,5.87,192.3,80,16.35,256.3,71,11.53,7.9,7,2.13,0
